session_id,date,start,end,hall,venue_key,place,track,track_curator,kind,title,speaker_keys,speaker_slugs,organizer_key
g8-2026-e001,2026-09-11,08:30,09:15,Бойлерная,хлебозавод №9,Хлебозавод,,,service,Сбор и регистрация гостей,,,g8
g8-2026-e002,2026-09-11,09:15,09:30,Бойлерная,хлебозавод №9,Хлебозавод,,,special,Открытие фестиваля. Японские барабанщицы TAIKO IN-SPIRATION,,,g8
g8-2026-e003,2026-09-11,09:30,09:45,Бойлерная,хлебозавод №9,Хлебозавод,,,talk,Приветственное слово,виталий быков; гюльнара акамова,vitalii-bykov; gyulnara-akamova,g8
g8-2026-e004,2026-09-11,09:45,10:00,Бойлерная,хлебозавод №9,Хлебозавод,Маркетинг,,talk,Итоги фестивального сезона 2026,юрий субботин,yurii-subbotin,g8
g8-2026-e005,2026-09-11,10:00,10:20,Бойлерная,хлебозавод №9,Хлебозавод,Маркетинг,,talk,7 смертных грехов рекламщика,диана халилова,diana-halilova,g8
g8-2026-e006,2026-09-11,10:20,10:40,Бойлерная,хлебозавод №9,Хлебозавод,Маркетинг,,talk,Кейс: «AI x Creative x VP production: как использовать triple power»,лиза тринич-афанасьева,liza-trinich-afanaseva,g8
g8-2026-e007,2026-09-11,10:40,11:00,Бойлерная,хлебозавод №9,Хлебозавод,Маркетинг,,talk,Маркетинга больше нет?,иван смелянский,ivan-smelyanskii,g8
g8-2026-e009,2026-09-11,11:20,11:40,Бойлерная,хлебозавод №9,Хлебозавод,Дизайн,Митя Осадчук,talk,Фестивальный дизайн или дизайн фестиваля,алексей пушкарёв; борис шилин,aleksei-pushkarev; boris-shilin,g8
g8-2026-e010,2026-09-11,11:40,12:00,Бойлерная,хлебозавод №9,Хлебозавод,Дизайн,Митя Осадчук,talk,Концептуальный мерч. Или нет,гульнара туктарова; виктория василевская,gulnara-tuktarova; viktoriya-vasilevskaya,g8
g8-2026-e011,2026-09-11,12:00,12:20,Бойлерная,хлебозавод №9,Хлебозавод,Дизайн,Митя Осадчук,talk,ИИ в крафте или против крафта,олег баринбойм; дмитрий костюченко,oleg-barinboim; dmitrii-kostyuchenko,g8
