name,entity_key,slug,profile_url,in_afisha_graph,has_profile_page,sessions,role,sections,halls,session_ids
Владимир Амосов,владимир амосов,vladimir-amosov,https://www.design-events.fun/speaker/vladimir-amosov,0,0,5,"стилист-парикмахер, игропрактик",Konstruct и Слой,Konstruct Space,e144; e146; e154; e155; e156
Андрей Тубольцев,андрей тубольцев,andrei-tuboltsev,https://www.design-events.fun/speaker/andrei-tuboltsev,1,1,2,"сооснователь и генеральный директор DREAMLASER, генеральный продюсер INTERVALS и пространства ЦЕХ",REDDAY; Медиаарт,Гостиная; Центр Внутри,e033; e128
Андрей Ульянов,андрей ульянов,andrei-ulyanov,https://www.design-events.fun/speaker/andrei-ulyanov,0,0,2,"парикмахер, тренер, основатель парикмахерской POPS, сооснователь школы KONSTRUCT",Konstruct и Слой,Konstruct Space,e148; e155
Антон Бондарь,антон бондарь,anton-bondar,https://www.design-events.fun/speaker/anton-bondar,1,0,2,"генеральный директор и сооснователь SALT AND PEPPER, сооснователь CUSP, ментор Duo Sapiens",Веб,Simple Music,e083; e084
Арсений Попов,арсений попов,arsenii-popov,https://www.design-events.fun/speaker/arsenii-popov,1,0,2,"художник, резидент объединения koshta.collective, партнер студии MA, лектор AI Mindset LAB, автор телеграм-канала «дельфин дружит с кукушкой»",ИИ,Бойлерная,e025; e027
Артём Федоров,артём федоров,artem-fedorov,https://www.design-events.fun/speaker/artem-fedorov,0,0,2,дизайн-директор Red Collar,Веб,Simple Music,e082; e084
Владимир Котт,владимир котт,vladimir-kott,https://www.design-events.fun/speaker/vladimir-kott,0,0,2,"режиссёр театра и кино, сценарист, продюсер и педагог",Кино,Котельная,e068; e071
Денис Ломов,денис ломов,denis-lomov,https://www.design-events.fun/speaker/denis-lomov,1,0,2,CEO Red Collar,Веб,Simple Music,e080; e084
Дима Логинов,дима логинов,dima-loginov,https://www.design-events.fun/speaker/dima-loginov,0,0,2,предметный дизайнер,Предметный дизайн,Центр Внутри,e047; e049
Евгений Филатов,евгений филатов,evgenii-filatov,https://www.design-events.fun/speaker/evgenii-filatov,1,0,2,дизайн-директор ГигаЧат,Веб,Simple Music,e081; e084
Иван Стельмах,иван стельмах,ivan-stelmah,https://www.design-events.fun/speaker/ivan-stelmah,1,1,2,CPO в Центральном университете,Образование,Simple Music,e086; e088
Иван Шаров,иван шаров,ivan-sharov,https://www.design-events.fun/speaker/ivan-sharov,0,0,2,креативный директор Okko,Кино,Котельная,e068; e073
Илья Учитель,илья учитель,ilya-uchitel,https://www.design-events.fun/speaker/ilya-uchitel,0,0,2,режиссёр и сценарист,Кино,Котельная,e068; e072
Ксения Караваева,ксения караваева,kseniya-karavaeva,https://www.design-events.fun/speaker/kseniya-karavaeva,0,0,2,"архитектор, сооснователь бюро .dpt",Предметный дизайн,Центр Внутри,e048; e049
Ксения Сторожева,ксения сторожева,kseniya-storozheva,https://www.design-events.fun/speaker/kseniya-storozheva,0,0,2,топ-стилист парикмахерской Konstruct и преподаватель школы Konstruct,Konstruct и Слой,Konstruct Space,e147; e155
Лиза Жолтая,лиза жолтая,liza-zholtaya,https://www.design-events.fun/speaker/liza-zholtaya,0,0,2,"партнер архитектурной студии, ведущий архитектор DA BUREU",Дизайн интерьера,Центр Внутри,e041; e043
Мурат Гукетлов,мурат гукетлов,murat-guketlov,https://www.design-events.fun/speaker/murat-guketlov,0,0,2,"архитектор, сооснователь бюро .dpt",Предметный дизайн,Центр Внутри,e048; e049
Ольга Никулина,ольга никулина,olga-nikulina,https://www.design-events.fun/speaker/olga-nikulina,0,0,2,"креативный продюсер, сценарист, шоураннер «Среда»",Кино,Котельная,e068; e070
Пётр Сафронов,пётр сафронов,petr-safronov,https://www.design-events.fun/speaker/petr-safronov,1,0,2,"руководитель академического направления, Фонд «Наше будущее»",Образование,Simple Music,e086; e089
Сергей Трегубов,сергей трегубов,sergei-tregubov,https://www.design-events.fun/speaker/sergei-tregubov,1,0,2,основатель и владелец студии INROOM.design,Дизайн интерьера,Центр Внутри,e041; e044
Степан Бугаев,степан бугаев,stepan-bugaev,https://www.design-events.fun/speaker/stepan-bugaev,0,0,2,"модератор; основатель, арт-директор студии «Точка дизайна»",Дизайн интерьера,Центр Внутри,e041; e042
Татьяна Белохина,татьяна белохина,tatyana-belohina,https://www.design-events.fun/speaker/tatyana-belohina,0,0,2,главный редактор журнала INTERIOR+DESIGN,Предметный дизайн,Центр Внутри,e046; e049
Юра Шевел,юра шевел,yura-shevel,https://www.design-events.fun/speaker/yura-shevel,0,0,2,"барбер, преподаватель, основатель мужской парикмахерской TYPE",Konstruct и Слой,Konstruct Space,e145; e155
Юрий Субботин,юрий субботин,yurii-subbotin,https://www.design-events.fun/speaker/yurii-subbotin,0,0,2,эксперт по спонсорству,REDDAY; Маркетинг,Бойлерная; Гостиная,e004; e128
Ярослав Андреев,ярослав андреев,yaroslav-andreev,https://www.design-events.fun/speaker/yaroslav-andreev,0,0,2,CEO Wildjam,Блогеры,Simple Music,e102; e105
SOLAR W (Алексей Ефремов),solar w (алексей ефремов),solar-w-aleksei-efremov,https://www.design-events.fun/speaker/solar-w-aleksei-efremov,0,0,1,"цифровой художник, исследователь генеративных систем",Медиаарт,Центр Внутри,e031
Александр Доброкотов,александр доброкотов,aleksandr-dobrokotov,https://www.design-events.fun/speaker/aleksandr-dobrokotov,0,0,1,CEO и креативный директор AI MOLODCA,ИИ,Бойлерная,e027
Александр Кадыкеев,александр кадыкеев,aleksandr-kadykeev,https://www.design-events.fun/speaker/aleksandr-kadykeev,0,0,1,"CEO VOVA family, part of JAMI LUP",ИИ,Бойлерная,e027
Александр Литвин,александр литвин,aleksandr-litvin,https://www.design-events.fun/speaker/aleksandr-litvin,0,0,1,модератор,REDDAY,Гостиная,e116
Александр Сокольников,александр сокольников,aleksandr-sokolnikov,https://www.design-events.fun/speaker/aleksandr-sokolnikov,0,0,1,главный редактор DROP,Медиа,Котельная,e058
Александр Ус,александр ус,aleksandr-us,https://www.design-events.fun/speaker/aleksandr-us,0,0,1,"сооснователь и креативный директор SILA SVETA, куратор фестиваля Outline",Медиаарт,Центр Внутри,e033
Александра Дубинина,александра дубинина,aleksandra-dubinina,https://www.design-events.fun/speaker/aleksandra-dubinina,1,0,1,"режиссер, креативный директор и основатель Interstellar Production",Компьютерная графика,Центр Внутри,e039
Алексей Журавлёв,алексей журавлёв,aleksei-zhuravlev,https://www.design-events.fun/speaker/aleksei-zhuravlev,1,0,1,руководитель и основатель студии OOPS TEAM,REDDAY,Гостиная,e125
Алексей Мочалов,алексей мочалов,aleksei-mochalov,https://www.design-events.fun/speaker/aleksei-mochalov,1,0,1,руководитель креативной студии ВИ.ру,REDDAY,Гостиная,e122
Алексей Пушкарёв,алексей пушкарёв,aleksei-pushkarev,https://www.design-events.fun/speaker/aleksei-pushkarev,0,0,1,дизайнер Odd works,Дизайн,Бойлерная,e009
Алина Абрамова,алина абрамова,alina-abramova,https://www.design-events.fun/speaker/alina-abramova,0,0,1,босс и сооснователь BALAGAN,REDDAY,Гостиная,e126
